4	35000			=(32,091231+32,108560+32,111630+32,098790+32,110026+32,080126+32,144561+32,078188+32,094819+32,106418)/10
4	40000			=(41,895647+41,849764+41,894310+41,805244+41,835909+41,795400+41,782746+41,875499+41,856494+41,850977)/10
4	45000			=(52,686250+52,750760+52,704020+52,806919+52,717849+52,811126+52,697991+52,580370+52,425094+52,715075)/10
4	54000			=(75,811780+75,836543+75,729644+75,919834+75,825890+75,825890+75,855494+75,925192+75,875870+75,821823)/10	
8	35000			=(31,181089+31,187235+31,185435+31,209947+31,185736+31,198160+31,146007+31,142511+31,181518+31,222556)/10 
8	40000			=(40,641568+40,657835+40,650017+40,598364+40,736928+40,637189+40,621701+40,614575+40,668789+40,617720)/10 
8	45000			=(51,204904+51,230707+51,168666+51,193922+51,080935+50,967934+51,193415+51,191279+51,184258+51,189443)/10 
8	54000			=(73,657709+73,661294+73,563261+73,587258+73,601425+73,562749+73,599789+73,609774+73,759282+73,607872)/10 
16	35000			=(30,515017+30,804626+30,777114+30,762625+30,705844+30,778059+30,726529+30,734835+30,803932+30,735417)/10 
16	40000			=(40,172934+40,093051+40,029823+40,201934+40,024694+40,029814+40,126170+40,029991+40,103663+40,086359)/10 
16	45000			=(50,564905+50,609795+50,631206+50,554030+50,470651+50,447132+50,365045+50,197857+50,468900+50,523928)/10 
16	54000			=(72,499128+72,625747+72,559312+72,620906+72,535845+72,719664+72,502678+72,523206+72,549329+72,712207)/10 
32	35000			=(30,794288+30,805225+30,641818+30,663465+30,641207+30,770816+30,765764+30,645308+30,724840+30,756631)/10 
32	40000			=(40,135543+39,982783+40,035621+40,009151+40,120776+40,018929+39,948796+39,923631+40,077345+39,965014)/10 
32	45000			=(50,456982+50,537676+50,344109+50,495135+50,625623+50,275022+50,272537+50,314126+50,474249+50,515040)/10 
32	54000			=(72,409492+72,294769+71,264461+71,211737+72,294556+72,291245+72,454885+72,214454+72,789845+72,294523)/10 
